province,year,month,year_month,dengue_cases,case_definition_standardised
CHIANG RAI,2020,5,2020-05,167,Suspected and confirmed
CHIANG RAI,2020,6,2020-06,296,Suspected and confirmed
CHIANG RAI,2020,7,2020-07,436,Suspected and confirmed
CHIANG RAI,2020,8,2020-08,258,Suspected and confirmed
CHIANG RAI,2020,9,2020-09,117,Suspected and confirmed
CHIANG RAI,2020,10,2020-10,63,Suspected and confirmed
CHIANG RAI,2020,11,2020-11,25,Suspected and confirmed
CHIANG RAI,2020,12,2020-12,8,Suspected and confirmed
CHIANG RAI,2021,1,2021-01,6,Suspected and confirmed
CHIANG RAI,2021,2,2021-02,0,Suspected and confirmed
CHIANG RAI,2021,3,2021-03,3,Suspected and confirmed
CHIANG RAI,2021,4,2021-04,10,Suspected and confirmed
CHIANG RAI,2021,5,2021-05,76,Suspected and confirmed
CHIANG RAI,2021,6,2021-06,66,Suspected and confirmed
CHIANG RAI,2021,7,2021-07,52,Suspected and confirmed
CHIANG RAI,2021,8,2021-08,21,Suspected and confirmed
CHIANG RAI,2021,9,2021-09,23,Suspected and confirmed
CHIANG RAI,2021,10,2021-10,19,Suspected and confirmed
CHIANG RAI,2021,11,2021-11,7,Suspected and confirmed
CHIANG RAI,2021,12,2021-12,3,Suspected and confirmed
CHIANG RAI,2022,1,2022-01,2,Suspected and confirmed
CHIANG RAI,2022,2,2022-02,1,Suspected and confirmed
CHIANG RAI,2022,3,2022-03,5,Suspected and confirmed
CHIANG RAI,2022,4,2022-04,8,Suspected and confirmed
CHIANG RAI,2022,5,2022-05,20,Suspected and confirmed
CHIANG RAI,2022,6,2022-06,47,Suspected and confirmed
CHIANG RAI,2022,7,2022-07,59,Suspected and confirmed
CHIANG RAI,2022,8,2022-08,77,Suspected and confirmed
CHIANG RAI,2022,9,2022-09,32,Suspected and confirmed
CHIANG RAI,2022,10,2022-10,50,Suspected and confirmed
CHIANG RAI,2022,11,2022-11,31,Suspected and confirmed
CHIANG RAI,2022,12,2022-12,19,Suspected and confirmed
CHONBURI,2015,1,2015-01,64,Suspected and confirmed
CHONBURI,2015,2,2015-02,38,Suspected and confirmed
CHONBURI,2015,3,2015-03,44,Suspected and confirmed
CHONBURI,2015,4,2015-04,45,Suspected and confirmed
CHONBURI,2015,5,2015-05,143,Suspected and confirmed
CHONBURI,2015,6,2015-06,191,Suspected and confirmed
CHONBURI,2015,7,2015-07,279,Suspected and confirmed
CHONBURI,2015,8,2015-08,286,Suspected and confirmed
CHONBURI,2015,9,2015-09,176,Suspected and confirmed
CHONBURI,2015,10,2015-10,237,Suspected and confirmed
CHONBURI,2015,11,2015-11,316,Suspected and confirmed
CHONBURI,2015,12,2015-12,186,Suspected and confirmed
CHONBURI,2016,1,2016-01,137,Suspected and confirmed
CHONBURI,2016,2,2016-02,70,Suspected and confirmed
CHONBURI,2016,3,2016-03,58,Suspected and confirmed
CHONBURI,2016,4,2016-04,31,Suspected and confirmed
CHONBURI,2016,5,2016-05,20,Suspected and confirmed
CHONBURI,2016,6,2016-06,8,Suspected and confirmed
CHONBURI,2016,7,2016-07,14,Suspected and confirmed
CHONBURI,2016,8,2016-08,36,Suspected and confirmed
CHONBURI,2016,9,2016-09,47,Suspected and confirmed
CHONBURI,2016,10,2016-10,34,Suspected and confirmed
CHONBURI,2016,11,2016-11,19,Suspected and confirmed
CHONBURI,2016,12,2016-12,10,Suspected and confirmed
CHONBURI,2017,1,2017-01,27,Suspected and confirmed
CHONBURI,2017,2,2017-02,20,Suspected and confirmed
CHONBURI,2017,3,2017-03,22,Suspected and confirmed
CHONBURI,2017,4,2017-04,26,Suspected and confirmed
CHONBURI,2017,5,2017-05,39,Suspected and confirmed
CHONBURI,2017,6,2017-06,76,Suspected and confirmed
CHONBURI,2017,7,2017-07,96,Suspected and confirmed
CHONBURI,2017,8,2017-08,36,Suspected and confirmed
CHONBURI,2017,9,2017-09,33,Suspected and confirmed
CHONBURI,2017,10,2017-10,44,Suspected and confirmed
CHONBURI,2017,11,2017-11,48,Suspected and confirmed
CHONBURI,2017,12,2017-12,42,Suspected and confirmed
CHONBURI,2018,1,2018-01,43,Suspected and confirmed
CHONBURI,2018,2,2018-02,43,Suspected and confirmed
CHONBURI,2018,3,2018-03,58,Suspected and confirmed
CHONBURI,2018,4,2018-04,96,Suspected and confirmed
CHONBURI,2018,5,2018-05,188,Suspected and confirmed
CHONBURI,2018,6,2018-06,287,Suspected and confirmed
CHONBURI,2018,7,2018-07,311,Suspected and confirmed
CHONBURI,2018,8,2018-08,210,Suspected and confirmed
CHONBURI,2018,9,2018-09,157,Suspected and confirmed
CHONBURI,2018,10,2018-10,78,Suspected and confirmed
CHONBURI,2018,11,2018-11,191,Suspected and confirmed
CHONBURI,2018,12,2018-12,152,Suspected and confirmed
CHONBURI,2019,1,2019-01,155,Suspected and confirmed
CHONBURI,2019,2,2019-02,139,Suspected and confirmed
CHONBURI,2019,3,2019-03,116,Suspected and confirmed
CHONBURI,2019,4,2019-04,151,Suspected and confirmed
CHONBURI,2019,5,2019-05,151,Suspected and confirmed
CHONBURI,2019,6,2019-06,234,Suspected and confirmed
CHONBURI,2019,7,2019-07,420,Suspected and confirmed
CHONBURI,2019,8,2019-08,304,Suspected and confirmed
CHONBURI,2019,9,2019-09,207,Suspected and confirmed
CHONBURI,2019,10,2019-10,237,Suspected and confirmed
CHONBURI,2019,11,2019-11,254,Suspected and confirmed
CHONBURI,2019,12,2019-12,155,Suspected and confirmed
CHONBURI,2020,1,2020-01,79,Suspected and confirmed
CHONBURI,2020,2,2020-02,63,Suspected and confirmed
CHONBURI,2020,3,2020-03,44,Suspected and confirmed
CHONBURI,2020,4,2020-04,48,Suspected and confirmed
CHONBURI,2020,5,2020-05,87,Suspected and confirmed
CHONBURI,2020,6,2020-06,148,Suspected and confirmed
CHONBURI,2020,7,2020-07,287,Suspected and confirmed
CHONBURI,2020,8,2020-08,333,Suspected and confirmed
CHONBURI,2020,9,2020-09,255,Suspected and confirmed
CHONBURI,2020,10,2020-10,154,Suspected and confirmed
CHONBURI,2020,11,2020-11,143,Suspected and confirmed
CHONBURI,2020,12,2020-12,54,Suspected and confirmed
CHONBURI,2021,1,2021-01,52,Suspected and confirmed
CHONBURI,2021,2,2021-02,28,Suspected and confirmed
CHONBURI,2021,3,2021-03,27,Suspected and confirmed
CHONBURI,2021,4,2021-04,25,Suspected and confirmed
CHONBURI,2021,5,2021-05,29,Suspected and confirmed
CHONBURI,2021,6,2021-06,46,Suspected and confirmed
CHONBURI,2021,7,2021-07,8,Suspected and confirmed
CHONBURI,2021,8,2021-08,16,Suspected and confirmed
CHONBURI,2021,9,2021-09,10,Suspected and confirmed
CHONBURI,2021,10,2021-10,16,Suspected and confirmed
CHONBURI,2021,11,2021-11,45,Suspected and confirmed
CHONBURI,2021,12,2021-12,31,Suspected and confirmed
CHONBURI,2022,1,2022-01,22,Suspected and confirmed
CHONBURI,2022,2,2022-02,18,Suspected and confirmed
CHONBURI,2022,3,2022-03,30,Suspected and confirmed
CHONBURI,2022,4,2022-04,44,Suspected and confirmed
CHONBURI,2022,5,2022-05,63,Suspected and confirmed
CHONBURI,2022,6,2022-06,153,Suspected and confirmed
CHONBURI,2022,7,2022-07,194,Suspected and confirmed
CHONBURI,2022,8,2022-08,210,Suspected and confirmed
CHONBURI,2022,9,2022-09,289,Suspected and confirmed
CHONBURI,2022,10,2022-10,301,Suspected and confirmed
CHONBURI,2022,11,2022-11,266,Suspected and confirmed
CHONBURI,2022,12,2022-12,231,Suspected and confirmed
CHUMPHON,2015,1,2015-01,26,Suspected and confirmed
CHUMPHON,2015,2,2015-02,27,Suspected and confirmed
CHUMPHON,2015,3,2015-03,22,Suspected and confirmed
CHUMPHON,2015,4,2015-04,27,Suspected and confirmed
CHUMPHON,2015,5,2015-05,43,Suspected and confirmed
CHUMPHON,2015,6,2015-06,66,Suspected and confirmed
CHUMPHON,2015,7,2015-07,61,Suspected and confirmed
CHUMPHON,2015,8,2015-08,64,Suspected and confirmed
CHUMPHON,2015,9,2015-09,53,Suspected and confirmed
CHUMPHON,2015,10,2015-10,45,Suspected and confirmed
CHUMPHON,2015,11,2015-11,44,Suspected and confirmed
CHUMPHON,2015,12,2015-12,18,Suspected and confirmed
CHUMPHON,2016,1,2016-01,25,Suspected and confirmed
CHUMPHON,2016,2,2016-02,19,Suspected and confirmed
CHUMPHON,2016,3,2016-03,5,Suspected and confirmed
CHUMPHON,2016,4,2016-04,6,Suspected and confirmed
CHUMPHON,2016,5,2016-05,7,Suspected and confirmed
CHUMPHON,2016,6,2016-06,18,Suspected and confirmed
CHUMPHON,2016,7,2016-07,28,Suspected and confirmed
CHUMPHON,2016,8,2016-08,42,Suspected and confirmed
CHUMPHON,2016,9,2016-09,34,Suspected and confirmed
CHUMPHON,2016,10,2016-10,30,Suspected and confirmed
CHUMPHON,2016,11,2016-11,14,Suspected and confirmed
CHUMPHON,2016,12,2016-12,5,Suspected and confirmed
CHUMPHON,2017,1,2017-01,11,Suspected and confirmed
CHUMPHON,2017,2,2017-02,13,Suspected and confirmed
CHUMPHON,2017,3,2017-03,19,Suspected and confirmed
CHUMPHON,2017,4,2017-04,19,Suspected and confirmed
CHUMPHON,2017,5,2017-05,43,Suspected and confirmed
CHUMPHON,2017,6,2017-06,29,Suspected and confirmed
CHUMPHON,2017,7,2017-07,29,Suspected and confirmed
CHUMPHON,2017,8,2017-08,25,Suspected and confirmed
CHUMPHON,2017,9,2017-09,28,Suspected and confirmed
CHUMPHON,2017,10,2017-10,30,Suspected and confirmed
CHUMPHON,2017,11,2017-11,40,Suspected and confirmed
CHUMPHON,2017,12,2017-12,13,Suspected and confirmed
CHUMPHON,2018,1,2018-01,15,Suspected and confirmed
CHUMPHON,2018,2,2018-02,19,Suspected and confirmed
CHUMPHON,2018,3,2018-03,9,Suspected and confirmed
CHUMPHON,2018,4,2018-04,11,Suspected and confirmed
CHUMPHON,2018,5,2018-05,21,Suspected and confirmed
CHUMPHON,2018,6,2018-06,17,Suspected and confirmed
CHUMPHON,2018,7,2018-07,57,Suspected and confirmed
CHUMPHON,2018,8,2018-08,29,Suspected and confirmed
CHUMPHON,2018,9,2018-09,19,Suspected and confirmed
CHUMPHON,2018,10,2018-10,13,Suspected and confirmed
CHUMPHON,2018,11,2018-11,24,Suspected and confirmed
CHUMPHON,2018,12,2018-12,11,Suspected and confirmed
CHUMPHON,2019,1,2019-01,30,Suspected and confirmed
CHUMPHON,2019,2,2019-02,36,Suspected and confirmed
CHUMPHON,2019,3,2019-03,33,Suspected and confirmed
CHUMPHON,2019,4,2019-04,47,Suspected and confirmed
CHUMPHON,2019,5,2019-05,64,Suspected and confirmed
CHUMPHON,2019,6,2019-06,66,Suspected and confirmed
CHUMPHON,2019,7,2019-07,76,Suspected and confirmed
CHUMPHON,2019,8,2019-08,53,Suspected and confirmed
CHUMPHON,2019,9,2019-09,44,Suspected and confirmed
CHUMPHON,2019,10,2019-10,33,Suspected and confirmed
CHUMPHON,2019,11,2019-11,8,Suspected and confirmed
CHUMPHON,2019,12,2019-12,12,Suspected and confirmed
CHUMPHON,2020,1,2020-01,5,Suspected and confirmed
CHUMPHON,2020,2,2020-02,9,Suspected and confirmed
CHUMPHON,2020,3,2020-03,13,Suspected and confirmed
CHUMPHON,2020,4,2020-04,13,Suspected and confirmed
CHUMPHON,2020,5,2020-05,16,Suspected and confirmed
CHUMPHON,2020,6,2020-06,25,Suspected and confirmed
CHUMPHON,2020,7,2020-07,36,Suspected and confirmed
CHUMPHON,2020,8,2020-08,21,Suspected and confirmed
CHUMPHON,2020,9,2020-09,31,Suspected and confirmed
CHUMPHON,2020,10,2020-10,43,Suspected and confirmed
CHUMPHON,2020,11,2020-11,32,Suspected and confirmed
CHUMPHON,2020,12,2020-12,14,Suspected and confirmed
CHUMPHON,2021,1,2021-01,7,Suspected and confirmed
CHUMPHON,2021,2,2021-02,17,Suspected and confirmed
CHUMPHON,2021,3,2021-03,7,Suspected and confirmed
CHUMPHON,2021,4,2021-04,5,Suspected and confirmed
CHUMPHON,2021,5,2021-05,17,Suspected and confirmed
CHUMPHON,2021,6,2021-06,22,Suspected and confirmed
CHUMPHON,2021,7,2021-07,27,Suspected and confirmed
CHUMPHON,2021,8,2021-08,31,Suspected and confirmed
CHUMPHON,2021,9,2021-09,11,Suspected and confirmed
CHUMPHON,2021,10,2021-10,15,Suspected and confirmed
CHUMPHON,2021,11,2021-11,9,Suspected and confirmed
CHUMPHON,2021,12,2021-12,7,Suspected and confirmed
CHUMPHON,2022,1,2022-01,11,Suspected and confirmed
CHUMPHON,2022,2,2022-02,9,Suspected and confirmed
CHUMPHON,2022,3,2022-03,6,Suspected and confirmed
CHUMPHON,2022,4,2022-04,4,Suspected and confirmed
CHUMPHON,2022,5,2022-05,23,Suspected and confirmed
CHUMPHON,2022,6,2022-06,12,Suspected and confirmed
CHUMPHON,2022,7,2022-07,8,Suspected and confirmed
CHUMPHON,2022,8,2022-08,19,Suspected and confirmed
CHUMPHON,2022,9,2022-09,19,Suspected and confirmed
CHUMPHON,2022,10,2022-10,19,Suspected and confirmed
CHUMPHON,2022,11,2022-11,22,Suspected and confirmed
CHUMPHON,2022,12,2022-12,25,Suspected and confirmed
KALASIN,2015,1,2015-01,3,Suspected and confirmed
KALASIN,2015,2,2015-02,0,Suspected and confirmed
KALASIN,2015,3,2015-03,9,Suspected and confirmed
KALASIN,2015,4,2015-04,19,Suspected and confirmed
KALASIN,2015,5,2015-05,44,Suspected and confirmed
KALASIN,2015,6,2015-06,109,Suspected and confirmed
KALASIN,2015,7,2015-07,126,Suspected and confirmed
KALASIN,2015,8,2015-08,207,Suspected and confirmed
KALASIN,2015,9,2015-09,196,Suspected and confirmed
KALASIN,2015,10,2015-10,105,Suspected and confirmed
KALASIN,2015,11,2015-11,158,Suspected and confirmed
KALASIN,2015,12,2015-12,84,Suspected and confirmed
KALASIN,2016,1,2016-01,42,Suspected and confirmed
KALASIN,2016,2,2016-02,25,Suspected and confirmed
KALASIN,2016,3,2016-03,39,Suspected and confirmed
KALASIN,2016,4,2016-04,22,Suspected and confirmed
KALASIN,2016,5,2016-05,18,Suspected and confirmed
KALASIN,2016,6,2016-06,55,Suspected and confirmed
KALASIN,2016,7,2016-07,95,Suspected and confirmed
KALASIN,2016,8,2016-08,129,Suspected and confirmed
KALASIN,2016,9,2016-09,77,Suspected and confirmed
KALASIN,2016,10,2016-10,49,Suspected and confirmed
KALASIN,2016,11,2016-11,6,Suspected and confirmed
KALASIN,2016,12,2016-12,8,Suspected and confirmed
KALASIN,2017,1,2017-01,15,Suspected and confirmed
KALASIN,2017,2,2017-02,5,Suspected and confirmed
KALASIN,2017,3,2017-03,6,Suspected and confirmed
KALASIN,2017,4,2017-04,5,Suspected and confirmed
KALASIN,2017,5,2017-05,25,Suspected and confirmed
KALASIN,2017,6,2017-06,125,Suspected and confirmed
KALASIN,2017,7,2017-07,112,Suspected and confirmed
KALASIN,2017,8,2017-08,87,Suspected and confirmed
KALASIN,2017,9,2017-09,31,Suspected and confirmed
KALASIN,2017,10,2017-10,27,Suspected and confirmed
KALASIN,2017,11,2017-11,5,Suspected and confirmed
KALASIN,2017,12,2017-12,1,Suspected and confirmed
KALASIN,2018,1,2018-01,1,Suspected and confirmed
KALASIN,2018,2,2018-02,1,Suspected and confirmed
KALASIN,2018,3,2018-03,3,Suspected and confirmed
KALASIN,2018,4,2018-04,3,Suspected and confirmed
KALASIN,2018,5,2018-05,36,Suspected and confirmed
KALASIN,2018,6,2018-06,100,Suspected and confirmed
KALASIN,2018,7,2018-07,132,Suspected and confirmed
KALASIN,2018,8,2018-08,89,Suspected and confirmed
KALASIN,2018,9,2018-09,52,Suspected and confirmed
KALASIN,2018,10,2018-10,33,Suspected and confirmed
KALASIN,2018,11,2018-11,14,Suspected and confirmed
KALASIN,2018,12,2018-12,21,Suspected and confirmed
KALASIN,2019,1,2019-01,13,Suspected and confirmed
KALASIN,2019,2,2019-02,17,Suspected and confirmed
KALASIN,2019,3,2019-03,32,Suspected and confirmed
KALASIN,2019,4,2019-04,43,Suspected and confirmed
KALASIN,2019,5,2019-05,50,Suspected and confirmed
KALASIN,2019,6,2019-06,172,Suspected and confirmed
KALASIN,2019,7,2019-07,203,Suspected and confirmed
KALASIN,2019,8,2019-08,183,Suspected and confirmed
KALASIN,2019,9,2019-09,98,Suspected and confirmed
KALASIN,2019,10,2019-10,69,Suspected and confirmed
KALASIN,2019,11,2019-11,56,Suspected and confirmed
KALASIN,2019,12,2019-12,21,Suspected and confirmed
KALASIN,2020,1,2020-01,24,Suspected and confirmed
KALASIN,2020,2,2020-02,18,Suspected and confirmed
KALASIN,2020,3,2020-03,29,Suspected and confirmed
KALASIN,2020,4,2020-04,80,Suspected and confirmed
KALASIN,2020,5,2020-05,64,Suspected and confirmed
KALASIN,2020,6,2020-06,81,Suspected and confirmed
KALASIN,2020,7,2020-07,155,Suspected and confirmed
KALASIN,2020,8,2020-08,85,Suspected and confirmed
KALASIN,2020,9,2020-09,46,Suspected and confirmed
KALASIN,2020,10,2020-10,20,Suspected and confirmed
KALASIN,2020,11,2020-11,9,Suspected and confirmed
KALASIN,2020,12,2020-12,3,Suspected and confirmed
KALASIN,2021,1,2021-01,2,Suspected and confirmed
KALASIN,2021,2,2021-02,2,Suspected and confirmed
KALASIN,2021,3,2021-03,3,Suspected and confirmed
KALASIN,2021,4,2021-04,3,Suspected and confirmed
KALASIN,2021,5,2021-05,8,Suspected and confirmed
KALASIN,2021,6,2021-06,30,Suspected and confirmed
KALASIN,2021,7,2021-07,10,Suspected and confirmed
KALASIN,2021,8,2021-08,25,Suspected and confirmed
KALASIN,2021,9,2021-09,20,Suspected and confirmed
KALASIN,2021,10,2021-10,10,Suspected and confirmed
KALASIN,2021,11,2021-11,4,Suspected and confirmed
KALASIN,2021,12,2021-12,2,Suspected and confirmed
KALASIN,2022,1,2022-01,3,Suspected and confirmed
KALASIN,2022,2,2022-02,4,Suspected and confirmed
KALASIN,2022,3,2022-03,2,Suspected and confirmed
KALASIN,2022,4,2022-04,0,Suspected and confirmed
KALASIN,2022,5,2022-05,7,Suspected and confirmed
KALASIN,2022,6,2022-06,66,Suspected and confirmed
KALASIN,2022,7,2022-07,65,Suspected and confirmed
KALASIN,2022,8,2022-08,51,Suspected and confirmed
KALASIN,2022,9,2022-09,15,Suspected and confirmed
KALASIN,2022,10,2022-10,14,Suspected and confirmed
KALASIN,2022,11,2022-11,17,Suspected and confirmed
KALASIN,2022,12,2022-12,8,Suspected and confirmed
KAMPAENG PHET,2015,1,2015-01,5,Suspected and confirmed
KAMPAENG PHET,2015,2,2015-02,13,Suspected and confirmed
KAMPAENG PHET,2015,3,2015-03,16,Suspected and confirmed
KAMPAENG PHET,2015,4,2015-04,12,Suspected and confirmed
KAMPAENG PHET,2015,5,2015-05,31,Suspected and confirmed
KAMPAENG PHET,2015,6,2015-06,48,Suspected and confirmed
KAMPAENG PHET,2015,7,2015-07,78,Suspected and confirmed
KAMPAENG PHET,2015,8,2015-08,62,Suspected and confirmed
KAMPAENG PHET,2015,9,2015-09,76,Suspected and confirmed
KAMPAENG PHET,2015,10,2015-10,91,Suspected and confirmed
KAMPAENG PHET,2015,11,2015-11,47,Suspected and confirmed
KAMPAENG PHET,2015,12,2015-12,48,Suspected and confirmed
KAMPAENG PHET,2016,1,2016-01,24,Suspected and confirmed
KAMPAENG PHET,2016,2,2016-02,4,Suspected and confirmed
KAMPAENG PHET,2016,3,2016-03,9,Suspected and confirmed
KAMPAENG PHET,2016,4,2016-04,15,Suspected and confirmed
KAMPAENG PHET,2016,5,2016-05,6,Suspected and confirmed
KAMPAENG PHET,2016,6,2016-06,6,Suspected and confirmed
KAMPAENG PHET,2016,7,2016-07,6,Suspected and confirmed
KAMPAENG PHET,2016,8,2016-08,15,Suspected and confirmed
KAMPAENG PHET,2016,9,2016-09,18,Suspected and confirmed
KAMPAENG PHET,2016,10,2016-10,14,Suspected and confirmed
KAMPAENG PHET,2016,11,2016-11,5,Suspected and confirmed
KAMPAENG PHET,2016,12,2016-12,1,Suspected and confirmed
KAMPAENG PHET,2017,1,2017-01,1,Suspected and confirmed
KAMPAENG PHET,2017,2,2017-02,3,Suspected and confirmed
KAMPAENG PHET,2017,3,2017-03,9,Suspected and confirmed
KAMPAENG PHET,2017,4,2017-04,17,Suspected and confirmed
KAMPAENG PHET,2017,5,2017-05,13,Suspected and confirmed
KAMPAENG PHET,2017,6,2017-06,66,Suspected and confirmed
KAMPAENG PHET,2017,7,2017-07,116,Suspected and confirmed
KAMPAENG PHET,2017,8,2017-08,52,Suspected and confirmed
KAMPAENG PHET,2017,9,2017-09,63,Suspected and confirmed
KAMPAENG PHET,2017,10,2017-10,25,Suspected and confirmed
KAMPAENG PHET,2017,11,2017-11,12,Suspected and confirmed
KAMPAENG PHET,2017,12,2017-12,6,Suspected and confirmed
KAMPAENG PHET,2018,1,2018-01,9,Suspected and confirmed
KAMPAENG PHET,2018,2,2018-02,8,Suspected and confirmed
KAMPAENG PHET,2018,3,2018-03,12,Suspected and confirmed
KAMPAENG PHET,2018,4,2018-04,27,Suspected and confirmed
KAMPAENG PHET,2018,5,2018-05,56,Suspected and confirmed
KAMPAENG PHET,2018,6,2018-06,135,Suspected and confirmed
KAMPAENG PHET,2018,7,2018-07,153,Suspected and confirmed
KAMPAENG PHET,2018,8,2018-08,117,Suspected and confirmed
KAMPAENG PHET,2018,9,2018-09,68,Suspected and confirmed
KAMPAENG PHET,2018,10,2018-10,38,Suspected and confirmed
KAMPAENG PHET,2018,11,2018-11,41,Suspected and confirmed
KAMPAENG PHET,2018,12,2018-12,36,Suspected and confirmed
KAMPAENG PHET,2019,1,2019-01,17,Suspected and confirmed
KAMPAENG PHET,2019,2,2019-02,14,Suspected and confirmed
KAMPAENG PHET,2019,3,2019-03,25,Suspected and confirmed
KAMPAENG PHET,2019,4,2019-04,26,Suspected and confirmed
KAMPAENG PHET,2019,5,2019-05,18,Suspected and confirmed
KAMPAENG PHET,2019,6,2019-06,54,Suspected and confirmed
KAMPAENG PHET,2019,7,2019-07,87,Suspected and confirmed
KAMPAENG PHET,2019,8,2019-08,66,Suspected and confirmed
KAMPAENG PHET,2019,9,2019-09,20,Suspected and confirmed
KAMPAENG PHET,2019,10,2019-10,19,Suspected and confirmed
KAMPAENG PHET,2019,11,2019-11,19,Suspected and confirmed
KAMPAENG PHET,2019,12,2019-12,1,Suspected and confirmed
KAMPAENG PHET,2020,1,2020-01,11,Suspected and confirmed
KAMPAENG PHET,2020,2,2020-02,7,Suspected and confirmed
KAMPAENG PHET,2020,3,2020-03,22,Suspected and confirmed
KAMPAENG PHET,2020,4,2020-04,9,Suspected and confirmed
KAMPAENG PHET,2020,5,2020-05,10,Suspected and confirmed
KAMPAENG PHET,2020,6,2020-06,17,Suspected and confirmed
KAMPAENG PHET,2020,7,2020-07,46,Suspected and confirmed
KAMPAENG PHET,2020,8,2020-08,51,Suspected and confirmed
KAMPAENG PHET,2020,9,2020-09,29,Suspected and confirmed
KAMPAENG PHET,2020,10,2020-10,15,Suspected and confirmed
KAMPAENG PHET,2020,11,2020-11,5,Suspected and confirmed
KAMPAENG PHET,2020,12,2020-12,3,Suspected and confirmed
KAMPAENG PHET,2021,1,2021-01,3,Suspected and confirmed
KAMPAENG PHET,2021,2,2021-02,5,Suspected and confirmed
KAMPAENG PHET,2021,3,2021-03,7,Suspected and confirmed
KAMPAENG PHET,2021,4,2021-04,3,Suspected and confirmed
KAMPAENG PHET,2021,5,2021-05,6,Suspected and confirmed
KAMPAENG PHET,2021,6,2021-06,4,Suspected and confirmed
KAMPAENG PHET,2021,7,2021-07,10,Suspected and confirmed
KAMPAENG PHET,2021,8,2021-08,11,Suspected and confirmed
KAMPAENG PHET,2021,9,2021-09,9,Suspected and confirmed
KAMPAENG PHET,2021,10,2021-10,5,Suspected and confirmed
KAMPAENG PHET,2021,11,2021-11,0,Suspected and confirmed
KAMPAENG PHET,2021,12,2021-12,1,Suspected and confirmed
KAMPAENG PHET,2022,1,2022-01,0,Suspected and confirmed
KAMPAENG PHET,2022,2,2022-02,1,Suspected and confirmed
KAMPAENG PHET,2022,3,2022-03,1,Suspected and confirmed
KAMPAENG PHET,2022,4,2022-04,2,Suspected and confirmed
KAMPAENG PHET,2022,5,2022-05,8,Suspected and confirmed
KAMPAENG PHET,2022,6,2022-06,28,Suspected and confirmed
KAMPAENG PHET,2022,7,2022-07,33,Suspected and confirmed
KAMPAENG PHET,2022,8,2022-08,48,Suspected and confirmed
KAMPAENG PHET,2022,9,2022-09,34,Suspected and confirmed
KAMPAENG PHET,2022,10,2022-10,26,Suspected and confirmed
KAMPAENG PHET,2022,11,2022-11,13,Suspected and confirmed
KAMPAENG PHET,2022,12,2022-12,13,Suspected and confirmed
KANCHANABURI,2015,1,2015-01,15,Suspected and confirmed
KANCHANABURI,2015,2,2015-02,11,Suspected and confirmed
KANCHANABURI,2015,3,2015-03,26,Suspected and confirmed
KANCHANABURI,2015,4,2015-04,21,Suspected and confirmed
KANCHANABURI,2015,5,2015-05,38,Suspected and confirmed
KANCHANABURI,2015,6,2015-06,51,Suspected and confirmed
KANCHANABURI,2015,7,2015-07,134,Suspected and confirmed
KANCHANABURI,2015,8,2015-08,149,Suspected and confirmed
KANCHANABURI,2015,9,2015-09,105,Suspected and confirmed
KANCHANABURI,2015,10,2015-10,85,Suspected and confirmed
KANCHANABURI,2015,11,2015-11,101,Suspected and confirmed
KANCHANABURI,2015,12,2015-12,50,Suspected and confirmed
KANCHANABURI,2016,1,2016-01,31,Suspected and confirmed
KANCHANABURI,2016,2,2016-02,14,Suspected and confirmed
KANCHANABURI,2016,3,2016-03,25,Suspected and confirmed
KANCHANABURI,2016,4,2016-04,7,Suspected and confirmed
KANCHANABURI,2016,5,2016-05,7,Suspected and confirmed
KANCHANABURI,2016,6,2016-06,7,Suspected and confirmed
KANCHANABURI,2016,7,2016-07,18,Suspected and confirmed
KANCHANABURI,2016,8,2016-08,16,Suspected and confirmed
KANCHANABURI,2016,9,2016-09,12,Suspected and confirmed
KANCHANABURI,2016,10,2016-10,10,Suspected and confirmed
KANCHANABURI,2016,11,2016-11,2,Suspected and confirmed
KANCHANABURI,2016,12,2016-12,1,Suspected and confirmed
KANCHANABURI,2017,1,2017-01,4,Suspected and confirmed
KANCHANABURI,2017,2,2017-02,1,Suspected and confirmed
KANCHANABURI,2017,3,2017-03,1,Suspected and confirmed
KANCHANABURI,2017,4,2017-04,1,Suspected and confirmed
KANCHANABURI,2017,5,2017-05,4,Suspected and confirmed
KANCHANABURI,2017,6,2017-06,12,Suspected and confirmed
KANCHANABURI,2017,7,2017-07,18,Suspected and confirmed
KANCHANABURI,2017,8,2017-08,15,Suspected and confirmed
KANCHANABURI,2017,9,2017-09,4,Suspected and confirmed
KANCHANABURI,2017,10,2017-10,4,Suspected and confirmed
KANCHANABURI,2017,11,2017-11,10,Suspected and confirmed
KANCHANABURI,2017,12,2017-12,3,Suspected and confirmed
KANCHANABURI,2018,1,2018-01,8,Suspected and confirmed
KANCHANABURI,2018,2,2018-02,9,Suspected and confirmed
KANCHANABURI,2018,3,2018-03,10,Suspected and confirmed
KANCHANABURI,2018,4,2018-04,26,Suspected and confirmed
KANCHANABURI,2018,5,2018-05,41,Suspected and confirmed
KANCHANABURI,2018,6,2018-06,84,Suspected and confirmed
KANCHANABURI,2018,7,2018-07,59,Suspected and confirmed
KANCHANABURI,2018,8,2018-08,88,Suspected and confirmed
KANCHANABURI,2018,9,2018-09,19,Suspected and confirmed
KANCHANABURI,2018,10,2018-10,23,Suspected and confirmed
KANCHANABURI,2018,11,2018-11,27,Suspected and confirmed
