province,year_month,dengue_cases,temperature,humidity,rainfall
AMNAT CHAROEN,2015-01,1,22.64,57.93,0.01
AMNAT CHAROEN,2015-02,3,25.99,58.08,0.91
AMNAT CHAROEN,2015-03,4,30.41,50.11,0.45
AMNAT CHAROEN,2015-04,2,31.24,47.76,0.9
AMNAT CHAROEN,2015-05,11,30.24,64.45,3.06
AMNAT CHAROEN,2015-06,64,29.27,69.24,3.42
AMNAT CHAROEN,2015-07,91,26.85,82.46,6.92
AMNAT CHAROEN,2015-08,111,26.32,88.83,6.08
AMNAT CHAROEN,2015-09,80,26.66,87.2,4.99
AMNAT CHAROEN,2015-10,35,25.93,81.07,3.2
AMNAT CHAROEN,2015-11,23,27.09,73.3,0.57
AMNAT CHAROEN,2015-12,12,25.67,62.49,0.0
AMNAT CHAROEN,2016-01,11,25.37,60.98,0.55
AMNAT CHAROEN,2016-02,14,23.43,52.65,0.0
AMNAT CHAROEN,2016-03,18,29.83,45.39,0.02
AMNAT CHAROEN,2016-04,12,33.8,42.42,1.02
AMNAT CHAROEN,2016-05,9,30.08,68.84,4.39
AMNAT CHAROEN,2016-06,24,27.63,82.57,8.71
AMNAT CHAROEN,2016-07,55,26.38,88.67,7.93
AMNAT CHAROEN,2016-08,37,26.59,88.74,9.3
AMNAT CHAROEN,2016-09,17,26.48,89.17,15.72
AMNAT CHAROEN,2016-10,13,26.35,86.8,3.57
AMNAT CHAROEN,2016-11,5,24.22,86.94,1.18
AMNAT CHAROEN,2016-12,2,22.04,82.78,0.17
AMNAT CHAROEN,2017-01,1,23.69,72.29,0.06
AMNAT CHAROEN,2017-02,3,23.87,63.66,0.06
AMNAT CHAROEN,2017-03,2,27.59,64.5,2.88
AMNAT CHAROEN,2017-04,2,29.46,62.52,3.15
AMNAT CHAROEN,2017-05,4,27.97,80.79,10.09
AMNAT CHAROEN,2017-06,34,26.45,90.32,11.94
AMNAT CHAROEN,2017-07,29,25.69,92.61,21.32
AMNAT CHAROEN,2017-08,2,26.43,90.49,9.65
AMNAT CHAROEN,2017-09,5,27.05,87.91,9.25
AMNAT CHAROEN,2017-10,1,25.12,87.78,3.37
AMNAT CHAROEN,2017-11,0,23.67,85.69,0.32
AMNAT CHAROEN,2017-12,0,21.46,77.64,0.12
AMNAT CHAROEN,2018-01,0,23.49,68.77,0.01
AMNAT CHAROEN,2018-02,0,23.78,61.96,0.37
AMNAT CHAROEN,2018-03,2,27.13,62.97,2.81
AMNAT CHAROEN,2018-04,1,29.01,60.49,2.15
AMNAT CHAROEN,2018-05,9,28.53,75.07,5.82
AMNAT CHAROEN,2018-06,37,26.63,87.36,9.57
AMNAT CHAROEN,2018-07,20,25.79,91.39,20.7
AMNAT CHAROEN,2018-08,23,25.52,92.21,13.12
AMNAT CHAROEN,2018-09,16,26.78,87.09,7.97
AMNAT CHAROEN,2018-10,11,25.88,84.85,1.08
AMNAT CHAROEN,2018-11,1,24.85,82.01,0.26
AMNAT CHAROEN,2018-12,0,24.6,74.01,0.47
AMNAT CHAROEN,2019-01,9,24.06,66.51,0.0
AMNAT CHAROEN,2019-02,2,28.94,55.59,0.82
AMNAT CHAROEN,2019-03,6,30.83,51.07,0.73
AMNAT CHAROEN,2019-04,9,31.36,58.98,2.31
AMNAT CHAROEN,2019-05,58,28.81,77.59,7.02
AMNAT CHAROEN,2019-06,48,27.91,84.08,3.89
AMNAT CHAROEN,2019-07,28,26.49,86.78,9.86
AMNAT CHAROEN,2019-08,24,26.17,90.75,20.26
AMNAT CHAROEN,2019-09,66,25.98,88.64,14.53
AMNAT CHAROEN,2019-10,47,26.01,83.78,0.94
AMNAT CHAROEN,2019-11,21,24.19,80.97,0.24
AMNAT CHAROEN,2019-12,1,22.93,69.8,0.0
AMNAT CHAROEN,2020-01,0,24.99,63.8,0.09
AMNAT CHAROEN,2020-02,2,26.08,56.39,0.02
AMNAT CHAROEN,2020-03,4,30.55,54.32,1.33
AMNAT CHAROEN,2020-04,1,29.29,59.78,1.96
AMNAT CHAROEN,2020-05,13,30.25,69.26,4.55
AMNAT CHAROEN,2020-06,18,27.83,81.76,4.04
AMNAT CHAROEN,2020-07,27,27.26,85.83,9.33
AMNAT CHAROEN,2020-08,23,26.34,90.47,13.3
AMNAT CHAROEN,2020-09,9,27.02,88.2,7.96
AMNAT CHAROEN,2020-10,3,24.54,90.96,9.84
AMNAT CHAROEN,2020-11,0,23.3,87.06,0.25
AMNAT CHAROEN,2020-12,0,20.76,83.05,0.0
AMNAT CHAROEN,2021-01,0,20.13,72.53,0.0
AMNAT CHAROEN,2021-02,0,24.31,64.33,0.68
AMNAT CHAROEN,2021-03,0,29.27,57.75,0.74
AMNAT CHAROEN,2021-04,2,29.69,64.96,5.2
AMNAT CHAROEN,2021-05,3,28.14,82.33,6.1
AMNAT CHAROEN,2021-06,0,26.83,88.15,8.58
AMNAT CHAROEN,2021-07,0,26.45,89.66,12.21
AMNAT CHAROEN,2021-08,5,26.72,88.81,7.54
AMNAT CHAROEN,2021-09,0,26.44,88.74,14.08
AMNAT CHAROEN,2021-10,0,25.41,89.33,6.07
AMNAT CHAROEN,2021-11,0,23.39,85.25,0.08
AMNAT CHAROEN,2021-12,0,20.62,81.82,0.05
AMNAT CHAROEN,2022-01,0,23.85,71.42,0.27
AMNAT CHAROEN,2022-02,0,23.67,67.85,1.19
AMNAT CHAROEN,2022-03,0,27.89,67.32,3.68
AMNAT CHAROEN,2022-04,0,26.92,70.33,3.32
AMNAT CHAROEN,2022-05,0,26.05,86.23,9.84
AMNAT CHAROEN,2022-06,1,26.7,88.16,3.77
AMNAT CHAROEN,2022-07,0,26.79,89.24,12.56
AMNAT CHAROEN,2022-08,0,26.44,89.43,12.97
AMNAT CHAROEN,2022-09,0,26.42,89.74,13.01
AMNAT CHAROEN,2022-10,0,24.29,87.65,3.11
AMNAT CHAROEN,2022-11,0,24.77,85.83,1.26
AMNAT CHAROEN,2022-12,0,20.49,80.27,0.46
ANG THONG,2015-01,9,25.14,53.28,0.2
ANG THONG,2015-02,9,28.49,53.31,0.4
ANG THONG,2015-03,15,30.47,61.87,2.73
ANG THONG,2015-04,36,30.63,61.3,2.53
ANG THONG,2015-05,108,31.09,64.49,1.23
ANG THONG,2015-06,126,30.04,67.57,3.73
ANG THONG,2015-07,107,29.42,67.43,3.43
ANG THONG,2015-08,108,28.12,76.82,5.65
ANG THONG,2015-09,107,27.44,83.23,9.56
ANG THONG,2015-10,87,27.14,83.13,5.91
ANG THONG,2015-11,57,27.32,79.73,2.13
ANG THONG,2015-12,12,26.86,66.03,0.51
ANG THONG,2016-01,6,26.87,62.04,1.42
ANG THONG,2016-02,3,27.5,50.05,0.0
ANG THONG,2016-03,11,31.71,50.38,0.44
ANG THONG,2016-04,7,33.9,50.38,0.54
ANG THONG,2016-05,1,31.57,62.81,3.98
ANG THONG,2016-06,1,28.65,77.61,6.98
ANG THONG,2016-07,5,27.56,81.9,4.6
ANG THONG,2016-08,10,27.91,80.11,6.36
ANG THONG,2016-09,24,26.72,87.02,8.84
ANG THONG,2016-10,14,27.11,87.03,7.32
ANG THONG,2016-11,1,25.86,84.05,1.67
ANG THONG,2016-12,1,23.92,76.97,0.17
ANG THONG,2017-01,6,25.78,70.56,0.85
ANG THONG,2017-02,3,27.65,53.89,0.04
ANG THONG,2017-03,2,30.4,58.54,2.43
ANG THONG,2017-04,2,30.86,62.11,1.58
ANG THONG,2017-05,7,28.99,80.41,10.78
ANG THONG,2017-06,12,27.59,85.52,6.29
ANG THONG,2017-07,31,26.41,88.3,12.92
ANG THONG,2017-08,27,26.8,87.48,8.25
ANG THONG,2017-09,27,27.64,86.57,6.15
ANG THONG,2017-10,16,26.77,87.12,7.6
ANG THONG,2017-11,14,25.05,85.69,1.03
ANG THONG,2017-12,8,23.32,78.93,0.65
ANG THONG,2018-01,2,25.34,74.62,1.18
ANG THONG,2018-02,2,26.35,67.16,1.69
ANG THONG,2018-03,10,29.3,66.31,1.43
ANG THONG,2018-04,10,29.52,68.9,4.73
ANG THONG,2018-05,15,28.55,79.93,4.89
ANG THONG,2018-06,18,27.92,79.84,4.88
ANG THONG,2018-07,21,27.2,82.23,6.0
ANG THONG,2018-08,12,26.74,83.31,6.8
ANG THONG,2018-09,20,27.09,85.57,8.73
ANG THONG,2018-10,17,27.34,84.18,4.58
ANG THONG,2018-11,15,26.22,79.11,0.6
ANG THONG,2018-12,6,26.38,70.31,1.16
ANG THONG,2019-01,12,26.46,60.26,0.02
ANG THONG,2019-02,10,30.1,60.62,0.15
ANG THONG,2019-03,7,31.55,55.13,0.22
ANG THONG,2019-04,3,32.7,57.64,1.49
ANG THONG,2019-05,5,30.69,67.94,4.79
ANG THONG,2019-06,10,29.25,76.79,4.52
ANG THONG,2019-07,20,28.37,74.45,4.07
ANG THONG,2019-08,18,27.8,80.16,6.55
ANG THONG,2019-09,11,27.17,84.2,9.16
ANG THONG,2019-10,11,27.88,81.0,3.2
ANG THONG,2019-11,4,26.97,69.98,0.49
ANG THONG,2019-12,3,26.25,56.67,0.0
ANG THONG,2020-01,11,29.32,53.34,0.09
ANG THONG,2020-02,14,29.87,48.14,0.06
ANG THONG,2020-03,15,32.0,55.42,0.83
ANG THONG,2020-04,9,31.65,59.29,1.69
ANG THONG,2020-05,8,31.42,66.03,2.78
ANG THONG,2020-06,6,28.64,79.18,7.35
ANG THONG,2020-07,27,27.95,82.82,7.24
ANG THONG,2020-08,48,27.46,84.28,6.61
ANG THONG,2020-09,81,27.37,87.31,10.18
ANG THONG,2020-10,25,25.58,87.87,11.59
ANG THONG,2020-11,6,25.44,84.58,0.69
ANG THONG,2020-12,5,23.52,78.2,0.04
ANG THONG,2021-01,0,23.7,64.57,0.0
ANG THONG,2021-02,0,27.77,57.63,0.53
ANG THONG,2021-03,0,31.24,57.59,0.58
ANG THONG,2021-04,0,29.16,73.48,5.71
ANG THONG,2021-05,3,28.81,80.65,3.94
ANG THONG,2021-06,4,28.23,79.11,4.02
ANG THONG,2021-07,8,27.48,83.27,8.33
ANG THONG,2021-08,1,27.49,85.01,6.28
ANG THONG,2021-09,0,26.6,88.85,11.87
ANG THONG,2021-10,3,26.61,88.33,6.91
ANG THONG,2021-11,11,25.59,84.76,1.1
ANG THONG,2021-12,0,22.85,78.8,0.17
ANG THONG,2022-01,0,26.12,69.08,0.44
ANG THONG,2022-02,0,27.0,68.95,1.95
ANG THONG,2022-03,2,29.65,69.21,2.27
ANG THONG,2022-04,1,29.79,64.09,3.4
ANG THONG,2022-05,1,27.58,82.05,7.98
ANG THONG,2022-06,3,27.79,83.2,4.0
ANG THONG,2022-07,1,27.6,84.97,7.59
ANG THONG,2022-08,3,26.97,86.6,10.27
ANG THONG,2022-09,4,26.6,88.65,14.36
ANG THONG,2022-10,4,25.58,87.14,5.88
ANG THONG,2022-11,10,25.97,85.36,2.77
ANG THONG,2022-12,9,23.1,79.56,0.16
BANGKOK,2015-01,286,25.73,63.07,0.2
BANGKOK,2015-02,209,27.9,63.64,0.45
BANGKOK,2015-03,178,29.42,70.96,2.43
BANGKOK,2015-04,192,29.9,69.05,2.11
BANGKOK,2015-05,441,30.42,71.83,1.39
BANGKOK,2015-06,471,29.66,72.88,5.25
BANGKOK,2015-07,705,29.35,72.12,3.08
BANGKOK,2015-08,1103,28.61,76.17,4.12
BANGKOK,2015-09,1270,27.99,80.84,9.38
BANGKOK,2015-10,1895,27.8,81.6,5.83
BANGKOK,2015-11,4273,28.04,78.81,1.64
BANGKOK,2015-12,1715,27.66,69.9,0.65
BANGKOK,2016-01,998,27.32,69.94,1.62
BANGKOK,2016-02,440,27.78,59.65,0.15
BANGKOK,2016-03,310,30.12,63.86,0.42
BANGKOK,2016-04,124,31.77,63.8,0.32
BANGKOK,2016-05,78,31.13,68.15,2.97
BANGKOK,2016-06,63,28.8,79.56,7.67
BANGKOK,2016-07,193,28.02,81.25,4.47
BANGKOK,2016-08,314,28.45,79.6,5.44
BANGKOK,2016-09,309,27.38,84.15,9.39
BANGKOK,2016-10,333,27.39,85.25,9.5
BANGKOK,2016-11,364,26.72,83.99,2.49
BANGKOK,2016-12,283,24.93,79.17,0.13
BANGKOK,2017-01,200,26.24,74.79,2.21
BANGKOK,2017-02,127,27.67,63.32,0.18
BANGKOK,2017-03,119,29.61,67.09,2.01
BANGKOK,2017-04,111,29.9,70.95,1.63
BANGKOK,2017-05,155,29.4,80.37,10.06
BANGKOK,2017-06,331,28.49,81.94,4.38
BANGKOK,2017-07,630,27.46,83.73,10.69
BANGKOK,2017-08,704,27.65,83.4,6.72
BANGKOK,2017-09,520,28.19,84.06,6.9
BANGKOK,2017-10,563,27.49,84.85,8.19
BANGKOK,2017-11,737,26.16,84.67,2.48
BANGKOK,2017-12,448,24.77,77.61,0.84
BANGKOK,2018-01,252,26.46,74.49,1.77
BANGKOK,2018-02,222,26.88,70.76,1.97
BANGKOK,2018-03,307,28.75,73.47,1.68
BANGKOK,2018-04,240,29.23,73.7,5.96
BANGKOK,2018-05,209,28.89,80.63,3.77
BANGKOK,2018-06,412,28.64,77.67,3.56
BANGKOK,2018-07,660,28.37,78.23,3.8
BANGKOK,2018-08,691,27.97,78.01,4.51
BANGKOK,2018-09,538,27.83,81.98,9.01
BANGKOK,2018-10,434,27.81,82.71,7.08
BANGKOK,2018-11,419,26.94,78.82,1.35
BANGKOK,2018-12,297,27.28,73.14,1.2
BANGKOK,2019-01,587,27.14,66.7,0.12
BANGKOK,2019-02,354,29.03,70.19,0.29
BANGKOK,2019-03,242,29.69,68.77,0.69
BANGKOK,2019-04,183,31.07,68.8,1.54
BANGKOK,2019-05,158,30.63,70.59,4.64
BANGKOK,2019-06,308,29.24,79.58,5.4
BANGKOK,2019-07,743,28.63,76.01,3.53
BANGKOK,2019-08,1224,28.4,78.8,4.04
BANGKOK,2019-09,1050,27.86,81.16,8.29
BANGKOK,2019-10,1479,28.39,80.22,4.14
BANGKOK,2019-11,1497,27.49,72.47,0.81
BANGKOK,2019-12,765,26.72,65.13,0.01
BANGKOK,2020-01,402,29.07,64.28,0.22
BANGKOK,2020-02,207,29.11,60.97,0.29
BANGKOK,2020-03,150,30.36,66.55,0.63
BANGKOK,2020-04,70,30.3,70.01,3.37
BANGKOK,2020-05,81,30.71,72.89,2.56
BANGKOK,2020-06,159,28.87,79.92,7.65
BANGKOK,2020-07,399,28.36,82.05,5.79
BANGKOK,2020-08,594,28.22,81.47,5.3
BANGKOK,2020-09,519,27.93,84.52,9.27
BANGKOK,2020-10,454,26.34,86.6,13.41
BANGKOK,2020-11,537,26.45,83.57,1.41
BANGKOK,2020-12,335,25.15,76.58,0.15
BANGKOK,2021-01,276,25.51,63.93,0.0
BANGKOK,2021-02,174,28.16,63.69,1.1
BANGKOK,2021-03,163,29.77,69.11,1.04
BANGKOK,2021-04,59,29.29,75.4,4.83
BANGKOK,2021-05,78,29.35,79.58,4.23
BANGKOK,2021-06,77,29.01,77.16,3.04
BANGKOK,2021-07,40,28.26,80.79,6.78
BANGKOK,2021-08,37,28.16,82.17,6.69
BANGKOK,2021-09,71,27.24,85.92,10.96
BANGKOK,2021-10,94,27.27,86.42,8.27
BANGKOK,2021-11,128,26.54,84.25,1.93
BANGKOK,2021-12,90,24.59,76.35,0.1
BANGKOK,2022-01,62,27.38,69.33,0.71
BANGKOK,2022-02,52,27.53,73.44,3.54
BANGKOK,2022-03,77,29.19,74.83,2.46
BANGKOK,2022-04,95,29.64,69.65,2.24
BANGKOK,2022-05,116,28.53,78.97,6.09
BANGKOK,2022-06,222,28.56,80.37,4.77
BANGKOK,2022-07,346,28.14,83.19,7.13
BANGKOK,2022-08,522,27.75,83.17,8.22
BANGKOK,2022-09,807,27.29,85.24,12.19
BANGKOK,2022-10,1114,26.53,85.05,7.7
BANGKOK,2022-11,1246,26.75,82.88,3.08
BANGKOK,2022-12,873,24.96,75.83,0.14
BUNGKAN,2015-01,0,18.9,70.54,0.25
BUNGKAN,2015-02,1,23.23,65.58,1.25
BUNGKAN,2015-03,2,28.33,59.82,1.23
BUNGKAN,2015-04,0,29.74,51.83,1.42
BUNGKAN,2015-05,1,30.73,64.5,3.75
BUNGKAN,2015-06,11,29.23,70.53,2.99
BUNGKAN,2015-07,19,27.61,80.04,11.27
BUNGKAN,2015-08,31,26.8,87.62,7.86
BUNGKAN,2015-09,48,26.77,87.17,5.94
BUNGKAN,2015-10,60,25.29,82.35,3.04
BUNGKAN,2015-11,57,24.89,80.79,0.94
BUNGKAN,2015-12,6,21.04,74.67,0.27
BUNGKAN,2016-01,15,21.24,70.09,1.25
BUNGKAN,2016-02,22,20.48,53.9,0.05
BUNGKAN,2016-03,21,27.77,47.72,0.09
BUNGKAN,2016-04,18,32.87,47.71,1.77
BUNGKAN,2016-05,45,30.48,67.06,6.01
BUNGKAN,2016-06,86,28.5,78.71,7.07
BUNGKAN,2016-07,73,26.84,86.93,7.93
BUNGKAN,2016-08,59,26.8,87.46,14.75
BUNGKAN,2016-09,22,26.73,87.75,11.89
BUNGKAN,2016-10,12,26.04,85.33,4.34
BUNGKAN,2016-11,7,22.51,83.18,2.49
BUNGKAN,2016-12,0,19.53,80.56,0.16
BUNGKAN,2017-01,0,20.69,81.35,0.25
BUNGKAN,2017-02,0,21.08,71.88,0.46
BUNGKAN,2017-03,0,25.57,72.9,3.83
BUNGKAN,2017-04,0,27.54,70.07,3.04
BUNGKAN,2017-05,0,27.58,79.28,8.56
BUNGKAN,2017-06,0,26.79,88.63,10.16
BUNGKAN,2017-07,1,26.34,90.27,22.0
BUNGKAN,2017-08,0,26.48,90.53,11.6
BUNGKAN,2017-09,1,27.4,86.34,10.53
BUNGKAN,2017-10,0,24.79,86.57,6.81
BUNGKAN,2017-11,0,21.88,82.06,0.22
BUNGKAN,2017-12,0,18.44,79.17,0.46
BUNGKAN,2018-01,2,20.19,77.31,0.2
BUNGKAN,2018-02,1,20.68,73.18,1.67
BUNGKAN,2018-03,2,25.09,68.52,1.6
BUNGKAN,2018-04,2,27.21,67.99,4.54
BUNGKAN,2018-05,25,27.68,81.15,7.72
BUNGKAN,2018-06,19,26.88,86.79,10.08
BUNGKAN,2018-07,18,26.14,90.82,21.05
BUNGKAN,2018-08,2,25.98,91.5,12.66
BUNGKAN,2018-09,5,26.83,85.83,6.92
BUNGKAN,2018-10,4,25.23,83.81,1.51
BUNGKAN,2018-11,7,23.29,82.79,0.55
BUNGKAN,2018-12,11,20.43,80.8,1.07
BUNGKAN,2019-01,6,20.31,78.47,0.1
BUNGKAN,2019-02,14,25.3,70.7,1.23
BUNGKAN,2019-03,28,27.75,65.36,1.38
BUNGKAN,2019-04,7,30.92,62.86,2.73
BUNGKAN,2019-05,99,28.89,77.83,6.84
BUNGKAN,2019-06,394,27.9,85.28,8.94
BUNGKAN,2019-07,109,26.79,87.35,10.13
BUNGKAN,2019-08,20,26.44,89.94,18.76
BUNGKAN,2019-09,5,26.12,85.99,8.83
BUNGKAN,2019-10,0,25.75,82.81,2.62
BUNGKAN,2019-11,0,22.13,83.14,0.35
BUNGKAN,2019-12,0,19.31,78.39,0.11
BUNGKAN,2020-01,12,21.7,77.27,0.39
BUNGKAN,2020-02,4,22.99,67.37,0.19
BUNGKAN,2020-03,10,27.26,68.69,3.18
BUNGKAN,2020-04,39,26.82,67.27,2.18
BUNGKAN,2020-05,119,29.77,73.55,7.51
BUNGKAN,2020-06,133,27.62,85.54,4.66
BUNGKAN,2020-07,134,27.61,85.33,7.35
BUNGKAN,2020-08,56,26.63,88.95,14.45
BUNGKAN,2020-09,32,27.48,85.42,6.48
BUNGKAN,2020-10,6,23.7,85.65,7.76
BUNGKAN,2020-11,1,22.51,82.42,0.37
BUNGKAN,2020-12,0,18.37,78.65,0.11
BUNGKAN,2021-01,0,17.51,74.32,0.04
BUNGKAN,2021-02,0,22.42,73.33,1.3
BUNGKAN,2021-03,0,26.75,69.13,2.07
BUNGKAN,2021-04,5,28.06,72.66,5.25
BUNGKAN,2021-05,6,28.7,78.25,3.8
BUNGKAN,2021-06,1,27.19,87.11,11.12
BUNGKAN,2021-07,0,27.26,86.69,10.34
BUNGKAN,2021-08,0,27.08,87.26,6.74
BUNGKAN,2021-09,0,26.89,86.65,10.63
BUNGKAN,2021-10,0,24.38,85.53,5.63
BUNGKAN,2021-11,0,21.92,80.74,0.29
BUNGKAN,2021-12,0,18.25,79.09,0.11
BUNGKAN,2022-01,0,20.8,79.23,0.49
BUNGKAN,2022-02,0,19.6,77.74,2.82
BUNGKAN,2022-03,2,26.3,75.11,3.28
BUNGKAN,2022-04,0,26.36,70.6,3.29
BUNGKAN,2022-05,0,25.89,83.09,10.11
BUNGKAN,2022-06,0,26.94,87.45,6.13
BUNGKAN,2022-07,6,27.46,86.73,11.58
BUNGKAN,2022-08,2,26.83,88.08,11.5
BUNGKAN,2022-09,1,26.89,87.06,9.69
BUNGKAN,2022-10,0,23.72,84.35,2.43
BUNGKAN,2022-11,1,24.24,84.41,1.92
BUNGKAN,2022-12,1,17.99,77.97,0.1
BURIRAM,2015-01,5,24.27,47.48,0.01
BURIRAM,2015-02,7,27.45,51.11,0.71
BURIRAM,2015-03,13,30.81,51.48,1.29
BURIRAM,2015-04,22,31.46,49.4,2.0
BURIRAM,2015-05,49,30.61,63.14,2.67
BURIRAM,2015-06,75,29.47,67.74,3.41
BURIRAM,2015-07,78,27.39,78.04,7.92
BURIRAM,2015-08,223,26.23,87.95,7.29
BURIRAM,2015-09,166,26.25,87.87,7.78
BURIRAM,2015-10,68,25.65,84.89,3.06
BURIRAM,2015-11,96,26.62,77.52,0.62
BURIRAM,2015-12,74,26.74,58.25,0.04
BURIRAM,2016-01,60,26.76,54.27,0.99
BURIRAM,2016-02,65,25.54,45.8,0.02
BURIRAM,2016-03,61,31.34,41.11,0.02
BURIRAM,2016-04,13,33.88,43.46,1.59
BURIRAM,2016-05,9,30.52,66.26,3.92
BURIRAM,2016-06,23,28.33,76.4,6.85
BURIRAM,2016-07,49,26.48,86.16,6.55
BURIRAM,2016-08,72,26.82,85.09,6.25
BURIRAM,2016-09,61,26.28,88.89,9.07
BURIRAM,2016-10,24,26.39,86.76,3.96
BURIRAM,2016-11,14,24.53,86.42,1.6
BURIRAM,2016-12,4,23.49,74.37,0.02
BURIRAM,2017-01,6,25.83,61.52,0.21
BURIRAM,2017-02,7,26.61,49.34,0.2
BURIRAM,2017-03,3,29.11,59.73,3.46
BURIRAM,2017-04,14,29.91,62.61,1.79
BURIRAM,2017-05,21,27.9,81.47,8.89
BURIRAM,2017-06,47,26.76,87.24,6.44
BURIRAM,2017-07,36,25.89,89.02,8.64
BURIRAM,2017-08,39,26.45,88.7,7.67
BURIRAM,2017-09,28,26.63,89.03,7.47
BURIRAM,2017-10,21,25.34,88.48,3.75
BURIRAM,2017-11,8,24.11,84.3,0.7
BURIRAM,2017-12,2,23.2,70.27,0.16
BURIRAM,2018-01,3,25.67,59.64,0.59
BURIRAM,2018-02,1,26.2,51.7,0.37
BURIRAM,2018-03,4,29.2,55.83,1.62
BURIRAM,2018-04,12,29.56,61.25,2.81
BURIRAM,2018-05,65,28.45,76.26,5.69
BURIRAM,2018-06,129,26.94,83.48,4.8
BURIRAM,2018-07,160,26.21,86.17,5.64
BURIRAM,2018-08,155,26.01,86.24,5.14
BURIRAM,2018-09,135,26.42,87.0,6.71
BURIRAM,2018-10,100,26.24,83.91,2.24
BURIRAM,2018-11,73,26.23,72.37,0.41
BURIRAM,2018-12,63,26.78,60.05,0.24
BURIRAM,2019-01,46,26.58,51.4,0.0
BURIRAM,2019-02,79,30.87,42.61,0.24
BURIRAM,2019-03,116,31.69,47.0,0.81
BURIRAM,2019-04,69,31.45,60.02,1.99
BURIRAM,2019-05,136,29.8,69.75,4.46
BURIRAM,2019-06,330,28.82,76.07,3.98
BURIRAM,2019-07,663,27.52,76.47,4.58
BURIRAM,2019-08,343,27.11,81.89,9.66
BURIRAM,2019-09,308,26.01,88.21,9.33
BURIRAM,2019-10,187,26.36,83.28,1.04
BURIRAM,2019-11,107,25.99,70.04,0.26
BURIRAM,2019-12,37,25.18,56.59,0.0
BURIRAM,2020-01,31,27.95,48.69,0.01
BURIRAM,2020-02,42,28.1,44.78,0.0
BURIRAM,2020-03,34,31.47,51.5,1.04
BURIRAM,2020-04,52,29.65,62.84,2.55
BURIRAM,2020-05,99,29.85,71.2,5.84
BURIRAM,2020-06,119,26.97,87.19,8.66
BURIRAM,2020-07,288,26.98,86.17,5.4
BURIRAM,2020-08,169,26.52,88.28,8.32
BURIRAM,2020-09,82,26.65,88.75,11.58
BURIRAM,2020-10,19,24.44,91.12,9.27
BURIRAM,2020-11,5,23.99,86.29,0.24
BURIRAM,2020-12,2,22.54,75.15,0.0
BURIRAM,2021-01,1,22.97,57.32,0.0
BURIRAM,2021-02,1,26.4,52.74,1.0
BURIRAM,2021-03,2,30.74,51.72,1.21
BURIRAM,2021-04,3,28.94,70.46,5.8
BURIRAM,2021-05,2,28.06,82.42,5.77
BURIRAM,2021-06,11,27.04,85.51,5.36
BURIRAM,2021-07,4,26.65,86.48,6.58
BURIRAM,2021-08,5,27.01,85.47,5.01
BURIRAM,2021-09,3,26.05,89.63,11.93
BURIRAM,2021-10,1,25.39,90.04,7.64
BURIRAM,2021-11,1,23.94,85.79,0.44
BURIRAM,2021-12,0,21.96,76.46,0.26
BURIRAM,2022-01,0,25.94,60.85,0.19
BURIRAM,2022-02,0,25.6,63.61,1.76
BURIRAM,2022-03,0,28.96,65.42,4.03
BURIRAM,2022-04,1,27.39,70.71,3.52
BURIRAM,2022-05,1,26.57,83.6,8.61
BURIRAM,2022-06,13,26.75,86.64,4.86
BURIRAM,2022-07,11,26.74,87.72,9.01
BURIRAM,2022-08,14,26.33,88.72,8.86
BURIRAM,2022-09,9,25.87,90.61,18.77
BURIRAM,2022-10,6,24.43,88.52,3.69
BURIRAM,2022-11,7,25.1,84.38,1.83
BURIRAM,2022-12,0,22.37,72.57,0.05
CHACHOENGSAO,2015-01,6,23.9,65.72,0.1
CHACHOENGSAO,2015-02,8,26.67,63.91,0.91
CHACHOENGSAO,2015-03,13,29.29,66.74,2.1
CHACHOENGSAO,2015-04,16,29.73,65.58,1.51
CHACHOENGSAO,2015-05,37,29.71,71.38,2.43
CHACHOENGSAO,2015-06,80,28.19,78.0,7.4
CHACHOENGSAO,2015-07,169,27.46,80.82,5.44
CHACHOENGSAO,2015-08,202,26.45,87.5,8.75
CHACHOENGSAO,2015-09,342,26.37,88.4,10.1
CHACHOENGSAO,2015-10,279,26.31,86.19,5.41
CHACHOENGSAO,2015-11,388,26.28,84.69,1.91
CHACHOENGSAO,2015-12,172,25.75,73.89,0.43
CHACHOENGSAO,2016-01,41,26.3,69.53,1.13
CHACHOENGSAO,2016-02,22,27.07,54.35,0.09
CHACHOENGSAO,2016-03,32,30.63,57.03,0.36
CHACHOENGSAO,2016-04,7,32.04,57.81,1.02
CHACHOENGSAO,2016-05,5,30.34,68.55,3.53
CHACHOENGSAO,2016-06,9,27.44,83.69,9.79
CHACHOENGSAO,2016-07,24,26.38,88.01,7.71
CHACHOENGSAO,2016-08,46,26.7,88.16,7.13
CHACHOENGSAO,2016-09,51,26.03,90.3,8.7
CHACHOENGSAO,2016-10,32,26.38,89.08,6.53
CHACHOENGSAO,2016-11,25,25.51,87.13,2.2
CHACHOENGSAO,2016-12,11,23.63,82.05,0.05
CHACHOENGSAO,2017-01,13,25.11,75.47,1.51
CHACHOENGSAO,2017-02,6,26.45,63.5,0.85
CHACHOENGSAO,2017-03,5,28.19,70.53,2.96
CHACHOENGSAO,2017-04,11,28.92,72.37,2.65
CHACHOENGSAO,2017-05,13,27.95,84.41,12.26
CHACHOENGSAO,2017-06,35,26.83,88.82,6.76
