Horizon,Model,MAE,RMSE,R2
h1,Naive,18.376623376623378,75.97938696690862,0.6315466801493794
h1,Linear Regression,30.700111775370573,66.77686492199497,0.7153947185779381
h1,Random Forest,15.28124098124098,68.27290925783183,0.7024994844944399
h1,XGBoost,19.094858474373645,84.63018581504505,0.542868138112258
h2,Naive,32.901875901875904,125.61479977326685,0.11908831760809868
h2,Linear Regression,58.114321339876135,113.25163719942583,0.28395597243900295
h2,Random Forest,24.884011544011543,101.54462729067319,0.42434186220231396
h2,XGBoost,32.18333771390488,111.53469348351717,0.30550247103144457
h3,Naive,43.24531024531024,149.7724536715209,-0.18572136527686234
h3,Linear Regression,70.43504406652286,129.09078198545402,0.11913527399766077
h3,Random Forest,40.76800865800866,117.00259479800475,0.276381364940279
h3,XGBoost,48.386403379674256,127.87599665781289,0.13563570444854256
