province,year_month,dengue_cases,temperature,humidity,rainfall,lat,lon,month,year,month_sin,month_cos,dengue_cases_lag_1,dengue_cases_lag_2,dengue_cases_lag_3,dengue_cases_lag_6,dengue_cases_lag_12,temperature_lag_1,temperature_lag_2,temperature_lag_3,humidity_lag_1,humidity_lag_2,humidity_lag_3,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,dengue_cases_roll_3,dengue_cases_roll_6,temperature_roll_3,temperature_roll_6,humidity_roll_3,humidity_roll_6,rainfall_roll_3,rainfall_roll_6,temperature_std_3,temperature_std_6,humidity_std_3,humidity_std_6,rainfall_std_3,rainfall_std_6,dengue_growth_rate,outbreak_momentum,target_h1,target_h2,target_h3
AMNAT CHAROEN,2016-01,11,25.37,60.98,0.55,15.90894508450009,104.7306090227048,1,2016,0.49999999999999994,0.8660254037844387,12.0,23.0,35.0,91.0,1.0,25.67,27.09,25.93,62.49,73.3,81.07,0.0,0.57,3.2,23.333333333333332,58.666666666666664,26.23,26.42,72.28666666666668,79.225,1.256666666666667,3.6266666666666665,0.7560423268574444,0.5484523680320696,9.331357528962931,9.847758628236196,1.7069368275754484,2.877552200511168,-0.6285710693879604,-23.0,14.0,18.0,12.0
AMNAT CHAROEN,2016-02,14,23.43,52.65,0.0,15.90894508450009,104.7306090227048,2,2016,0.8660254037844386,0.5000000000000001,11.0,12.0,23.0,111.0,3.0,25.37,25.67,27.09,60.98,62.49,73.3,0.55,0.0,0.57,15.333333333333334,45.333333333333336,26.043333333333333,26.173333333333336,65.59,75.645,0.3733333333333337,2.565,0.9187672900867481,0.6413319473304362,6.719605643190668,12.086423375010515,0.32347076117222273,2.5790909251129546,-0.08695644612482946,-12.0,18.0,12.0,9.0
AMNAT CHAROEN,2016-03,18,29.83,45.39,0.02,15.90894508450009,104.7306090227048,3,2016,1.0,6.123233995736766e-17,14.0,11.0,12.0,80.0,4.0,23.43,25.37,25.67,52.65,60.98,62.49,0.0,0.55,0.0,12.333333333333334,29.166666666666668,24.823333333333334,25.691666666666663,58.70666666666667,69.615,0.18333333333333365,1.5516666666666667,1.2159495603573864,1.2781927345540065,5.299286115443602,13.169423297927693,0.31754264805430044,2.065017352630883,0.2399998080001536,2.0,12.0,9.0,24.0
AMNAT CHAROEN,2016-04,12,33.8,42.42,1.02,15.90894508450009,104.7306090227048,4,2016,0.8660254037844387,-0.4999999999999998,18.0,14.0,11.0,35.0,2.0,29.83,23.43,25.37,45.39,52.65,60.98,0.02,0.0,0.55,14.333333333333334,18.833333333333332,26.209999999999997,26.22,53.00666666666666,62.64666666666667,0.1900000000000003,0.7233333333333333,3.281645928493811,2.129892016042123,7.801117441324247,13.064768909807302,0.31192947920965086,1.2432645199902788,0.24999984375009765,7.0,9.0,24.0,55.0
AMNAT CHAROEN,2016-05,9,30.08,68.84,4.39,15.90894508450009,104.7306090227048,5,2016,0.49999999999999994,-0.8660254037844387,12.0,18.0,14.0,23.0,11.0,33.8,29.83,23.43,42.42,45.39,52.65,1.02,0.02,0.0,14.666666666666666,15.0,29.02,27.531666666666666,46.82,56.20499999999999,0.34666666666666696,0.36000000000000004,5.232236615444685,3.7344794371728227,5.262784434118508,11.61179874093592,0.5832095106677678,0.4220426518729955,-0.39999973333351113,-2.0,24.0,55.0,37.0
AMNAT CHAROEN,2016-06,24,27.63,82.57,8.71,15.90894508450009,104.7306090227048,6,2016,1.2246467991473532e-16,-1.0,9.0,12.0,18.0,12.0,64.0,30.08,33.8,29.83,68.84,42.42,45.39,4.39,1.02,0.02,13.0,12.666666666666666,31.236666666666665,28.03,52.21666666666667,55.461666666666666,1.8100000000000003,0.9966666666666667,2.223428283829598,3.8611034692170545,14.472616671954434,10.375531632965501,2.289606953169037,1.7120358251703316,-0.2857140136057013,-9.0,55.0,37.0,17.0
AMNAT CHAROEN,2016-07,55,26.38,88.67,7.93,15.90894508450009,104.7306090227048,7,2016,-0.4999999999999997,-0.8660254037844388,24.0,9.0,12.0,11.0,91.0,27.63,30.08,33.8,82.57,68.84,42.42,8.71,4.39,1.02,15.0,14.666666666666666,30.50333333333333,28.356666666666666,64.61,58.80833333333334,4.706666666666667,2.4483333333333337,3.106707796580395,3.7011007371681526,20.40650141499027,15.208691484367336,3.85476761080786,3.478893023170828,0.9090903581270557,12.0,37.0,17.0,13.0
AMNAT CHAROEN,2016-08,37,26.59,88.74,9.3,15.90894508450009,104.7306090227048,8,2016,-0.8660254037844385,-0.5000000000000004,55.0,24.0,9.0,14.0,111.0,26.38,27.63,30.08,88.67,82.57,68.84,7.93,8.71,4.39,29.333333333333332,22.0,28.03,28.524999999999995,80.02666666666666,63.42333333333334,7.010000000000001,3.6783333333333332,1.8821530224718834,3.558307181793047,10.156703861653805,19.57414178621038,2.3022597594537415,3.946671593465393,0.7848099278962207,46.0,17.0,13.0,5.0
AMNAT CHAROEN,2016-09,17,26.48,89.17,15.72,15.90894508450009,104.7306090227048,9,2016,-1.0,-1.8369701987210297e-16,37.0,55.0,24.0,18.0,80.0,26.59,26.38,27.63,88.74,88.67,82.57,9.3,7.93,8.71,38.666666666666664,25.833333333333332,26.866666666666664,29.051666666666662,86.66000000000001,69.43833333333333,8.646666666666667,5.2283333333333335,0.6693529213601475,2.8081553850644805,3.542216820015392,21.08801879425061,0.6871923554095543,4.038293781619494,-0.39130426275994284,13.0,13.0,5.0,2.0
AMNAT CHAROEN,2016-10,13,26.35,86.8,3.57,15.90894508450009,104.7306090227048,10,2016,-0.8660254037844386,0.5000000000000001,17.0,37.0,55.0,12.0,35.0,26.48,26.59,26.38,89.17,88.74,88.67,15.72,9.3,7.93,36.333333333333336,25.666666666666668,26.483333333333334,28.49333333333333,88.86,76.735,10.983333333333334,7.845,0.10503967504404209,2.9518107437074357,0.2707397274134946,18.520750254781788,4.15887404634155,4.968012681143237,-0.7407404663924199,-38.0,5.0,2.0,1.0
AMNAT CHAROEN,2016-11,5,24.22,86.94,1.18,15.90894508450009,104.7306090227048,11,2016,-0.5000000000000004,0.8660254037844384,13.0,17.0,37.0,9.0,23.0,26.35,26.48,26.59,86.8,89.17,88.74,3.57,15.72,9.3,22.333333333333332,25.833333333333332,26.473333333333333,27.251666666666665,88.23666666666666,84.13166666666667,9.53,8.27,0.12013880860636694,1.4661980311904177,1.262629531308875,7.8817749692988555,6.078264554953165,4.336288735773946,-0.2666664888890074,-24.0,2.0,1.0,3.0
