region,year,month,dengue_cases,temperature,humidity,rainfall
Dak Lak,1998,1,0.0,26.35641923076923,-0.5993622892644093,3.747745096916333
Dak Lak,1998,2,0.0,25.863161538461537,-0.737073028188939,5.182025013849712
Dak Lak,1998,3,0.0,25.475369999999998,-0.9810215008146125,4.99061442231043
Dak Lak,1998,4,0.0,24.85367,-0.14648193669855247,7.486037068212264
Dak Lak,1998,5,0.0,24.21995,0.017993425602379803,8.78119592268307
Dak Lak,1998,6,0.0,23.399484615384615,0.018765671199566278,9.097321944024703
Dak Lak,1998,7,0.0,22.37451692307692,1.1145649662031354,13.113101156285172
Dak Lak,1998,8,0.0,21.265134615384618,1.6248373536206133,11.582358256698795
Dak Lak,1998,9,0.0,21.15411846153846,1.414120260456963,3.73964507329779
Dak Lak,1998,10,0.0,21.798176923076923,0.8412316378524859,0.38702143963466634
Dak Lak,1998,11,0.0,25.279780769230772,0.6237731652288585,0.7423039984972161
Dak Lak,1998,12,0.0,24.74186923076923,1.189950502485594,4.02869997644582
Dak Lak,1999,1,0.0,24.26715692307692,1.5789847488663347,8.717188862367315
Dak Lak,1999,2,0.0,23.912707692307695,1.1046242210563606,9.017903895045698
Dak Lak,1999,3,0.0,24.370903076923074,-0.045668234423154916,6.810838661084954
Dak Lak,1999,4,0.0,24.373831538461538,-0.8065298070102364,6.50916845860103
Dak Lak,1999,5,0.0,24.010556153846153,-0.869644910611388,7.699022777020359
Dak Lak,1999,6,0.0,23.40730153846154,-0.26540690534493244,8.790919073642446
Dak Lak,1999,7,0.0,22.530980769230766,0.41466376212591594,8.244520429378516
Dak Lak,1999,8,0.0,19.671683076923077,0.7798276183693638,5.4950546473264685
Dak Lak,1999,9,7.0,21.488864615384614,1.0064912815513247,2.1499490260164476
Dak Lak,1999,10,13.0,22.06413230769231,1.25140082376891,0.9182358995671027
Dak Lak,1999,11,18.0,24.058945384615388,1.1124826832167376,1.163731373918171
Dak Lak,1999,12,1.0,25.17388769230769,1.0379137527474511,3.7844832135865896
Dak Lak,2000,1,39.0,25.377829230769233,1.0845498687722903,7.441458954977302
Dak Lak,2000,2,53.0,24.279905384615386,0.8446222467394408,8.546490437136246
Dak Lak,2000,3,25.0,23.918598461538462,0.8504641300656675,8.640856750739307
Dak Lak,2000,4,7.0,24.167443846153844,0.36030499938291033,8.241077132809615
Dak Lak,2000,5,19.0,23.58335769230769,-0.0664185226302986,8.878541626752572
Dak Lak,2000,6,9.0,23.13278230769231,0.7491033576411825,12.782082140732276
Dak Lak,2000,7,46.0,22.198758461538464,1.0563717080666306,12.179178158895901
Dak Lak,2000,8,7.0,21.237673846153847,0.8658907425679446,6.428218630249971
Dak Lak,2000,9,5.0,21.787654615384614,0.9356068537633314,2.266557342339254
Dak Lak,2000,10,12.0,22.41563769230769,0.39678006951362205,0.36320135884383187
Dak Lak,2000,11,11.0,24.425334615384617,0.8429960674713836,1.9444582308129663
Dak Lak,2000,12,12.0,26.596896923076923,0.5710453382820172,2.7148214733013165
Dak Lak,2001,1,15.0,25.94714846153846,-0.3675928847488452,4.162647882297349
Dak Lak,2001,2,25.0,24.704956923076924,-0.18712949211720173,6.553488058181336
Dak Lak,2001,3,45.0,25.037911538461536,-0.8781696732637994,5.475692209214544
Dak Lak,2001,4,84.0,24.018713846153847,0.2273174647986327,11.901088166408814
Dak Lak,2001,5,0.0,24.476420769230767,0.00698794812281478,12.427194106679122
Dak Lak,2001,6,99.0,23.702101538461537,-1.1207439794760305,6.570189752472706
Dak Lak,2001,7,85.0,21.531302307692307,-0.21927134426396383,6.171160834268308
Dak Lak,2001,8,0.0,20.97391692307692,-0.12891094808877215,3.0649296386400247
Dak Lak,2001,9,7.0,21.073411538461535,-0.6678420296344177,0.7282346421281828
Dak Lak,2001,10,4.0,22.22132076923077,-1.2473616261599358,0.12170663226439812
Dak Lak,2001,11,4.0,25.31775538461538,-0.7878863018590304,0.8027156962395581
Dak Lak,2001,12,16.0,26.957036923076924,-0.8968131485211678,1.5245369331051524
Dak Lak,2002,1,14.0,26.92465846153846,-1.662933588101526,3.113362573248406
Dak Lak,2002,2,8.0,25.445051538461538,-1.0124191204680677,6.0142069302785846
Dak Lak,2002,3,67.0,25.841054615384618,-1.1954847880107873,5.56591327767819
Dak Lak,2002,4,123.0,23.850346153846154,-0.44544938688045654,8.653303859038994
Dak Lak,2002,5,53.0,23.552133076923077,0.8536624690954658,11.775694930782683
Dak Lak,2002,6,93.0,23.56865076923077,-0.2461086449568792,7.517152949451254
Dak Lak,2002,7,81.0,22.603822307692308,-0.1775858412627351,6.02779545498869
Dak Lak,2002,8,0.0,22.57475846153846,0.3112309266149408,4.5004291504693175
Dak Lak,2002,9,25.0,20.778326153846155,-0.2776744778612276,1.02126821189658
Dak Lak,2002,10,12.0,23.069869230769232,-0.46550669604182204,0.19800325465214336
Dak Lak,2002,11,4.0,25.411459230769232,-0.41472224306155225,0.2729409260120098
Dak Lak,2002,12,14.0,27.577769230769228,-1.0818913849304737,0.8751270081400156
Dak Lak,2003,1,23.0,25.364391538461536,-0.43185864152523035,4.686900839890139
Dak Lak,2003,2,0.0,25.090586153846154,-0.049389663816465305,6.418246077373625
Dak Lak,2003,3,73.0,24.432635384615384,-0.026523322173842567,6.598344359260338
Dak Lak,2003,4,58.0,24.697611538461537,0.14327252345847818,7.921080472162708
Dak Lak,2003,5,107.0,24.085344615384617,0.28884565867248435,10.481374365134306
Dak Lak,2003,6,129.0,23.10920153846154,0.32318955884796235,10.19075333785552
Dak Lak,2003,7,79.0,22.93036076923077,-0.09211945252897603,7.604894890951423
Dak Lak,2003,8,2.0,20.514457692307694,-0.10947946025543308,4.760411967603992
Dak Lak,2003,9,4.0,21.631238461538462,-0.699523933279299,0.7607623719055621
Dak Lak,2003,10,4.0,22.888505384615385,-1.4338250776833659,0.14364139956604466
Dak Lak,2003,11,4.0,25.301306153846156,-0.786691455735178,0.820073705527263
Dak Lak,2003,12,21.0,26.59299,-0.009349334508234348,1.8008547441030929
Dak Lak,2004,1,169.0,26.21741076923077,-0.6312550895704997,3.7122861607573348
Dak Lak,2004,2,269.0,24.724293846153845,-0.6275513343624618,5.868908268614456
Dak Lak,2004,3,345.0,24.556746923076922,0.1932436530180832,7.73181725078477
Dak Lak,2004,4,440.0,24.268859230769234,-0.07666227583136773,7.851589274091212
Dak Lak,2004,5,806.0,24.126694615384615,-0.9250492754709079,7.576287688257598
Dak Lak,2004,6,253.0,23.56807230769231,-1.7189873068458377,5.316559302557901
Dak Lak,2004,7,149.0,23.331957692307693,-2.2051132643195865,2.1260881252461474
Dak Lak,2004,8,23.0,21.143364615384616,-1.783340240802243,1.4633731403032124
Dak Lak,2004,9,5.0,21.72926076923077,-1.7134925323643082,0.4248942350474095
Dak Lak,2004,10,2.0,25.03872923076923,-1.941719266498865,0.1114624379414845
Dak Lak,2004,11,7.0,24.84781,-1.454436171025318,0.40591248338072405
Dak Lak,2004,12,13.0,26.772703076923076,-0.9959479862747982,1.1433836043579513
Dak Lak,2005,1,8.0,26.446930769230768,-0.692020063111056,4.243777532023021
Dak Lak,2005,2,10.0,25.841683846153845,-1.104376314561891,5.127305312691113
Dak Lak,2005,3,32.0,24.407177692307695,-0.5507456540839896,6.189634759301462
Dak Lak,2005,4,80.0,24.242785384615384,0.44996560311876854,8.564444509549778
Dak Lak,2005,5,62.0,23.6275,1.0391427278055736,12.058662107357609
Dak Lak,2005,6,36.0,23.472444615384614,0.9971645888052977,11.987685422914533
Dak Lak,2005,7,0.0,22.8297,-0.06869936090116432,6.525758143442754
Dak Lak,2005,8,0.0,20.407353076923076,0.6535214045909703,5.189356456797283
Dak Lak,2005,9,3.0,21.303302307692306,1.0298047305046465,2.7365437513778406
